문항 번호,정답,예상 정답률,선택 비율 예상,추정 변별도,추정 타당도,오류 가능성,해설,정답 풀이,오답 풀이,검토 메모(장점),검토 메모(약점),Comment 제목,Comment 내용
11,⑤,60%,"① 10%
② 5%
③ 15%
④ 10%
⑤ 60%","중, 3.5/5","상, 4.0/5",낮음,"(가)는 주요 도시로 타슈켄트, 사마르칸트가 언급된 우즈베키스탄이다. (나)는 사하라 사막, 수도 알제, OPEC 회원국 등을 통해 알제리임을 알 수 있다. (다)는 아라비아반도 동부, 초고층 건물 등의 힌트를 종합하면 아랍에미리트(UAE)이고, 그 수도 ㉠은 아부다비이다.","⑤ 이슬람 지역의 석유 자원과 관련하여, 아랍에미리트(다)는 사우디아라비아, 이란 등과 함께 세계적인 원유 생산 및 수출국이다. 알제리(나)는 북아프리카의 주요 산유국이지만 생산량 규모 면에서 아랍에미리트를 앞서지 못한다. 따라서 세 국가 중 석유 생산량이 가장 많은 나라는 (다)이다.","① 아랍에미리트의 수도 아부다비(㉠)는 풍부한 해저 유전 지대인 페르시아만에 접해 있다.
② 중앙아시아에 위치한 우즈베키스탄(가)은 바다와 접하지 않은 전형적인 내륙국(이중 내륙국)이다.
③ 아랍에미리트(다)는 국토 면적이 좁고 외국인 노동자 유입 등으로 인구 밀집 현상이 나타나, 국토가 넓은 우즈베키스탄(가)보다 인구 밀도가 높다.
④ 알제리와 아랍에미리트는 모두 이슬람교 중 다수파인 수니파 신자의 비율이 압도적으로 높다. (이란, 이라크 등지에서 시아파 비율이 높음)","중앙아시아, 북아프리카, 서남아시아의 서부 아시아(건조 기후구) 주요 국가들의 수도, 지형, 종파, 자원 등 지역 지리를 고르게 묻고 있어 단원 통합형으로 훌륭함. ","아랍에미리트의 수도를 두바이로 착각한 학생들에게 ㉠과 관련된 선택지가 혼란을 줄 여지가 있으나, 문제 풀이의 핵심인 자원 생산량 비교에는 큰 영향을 미치지 않음.",두바이가 수도인 줄 알았지?,"아랍에미리트 하면 부르즈 할리파 있는 두바이(Dubai)가 워낙 유명해서 거기가 수도인 줄 아는 사람들 진짜 많아. 근데 진짜 수도(㉠)는 산유국 파워의 상징이자 돈줄을 쥐고 있는 아부다비(Abu Dhabi)야. 아랍에미리트는 7개 토후국이 연합한 형태인데, 그중 맏형 노릇을 하는 아부다비가 정치적 중심을 잡고 있지. 낚시 문제로 종종 나오니까 두바이 펀치 피하도록 조심해."
12,5,60%,"① 10%, ② 15%, ③ 10%, ④ 5%, ⑤ 60%","상, 4.0/5","상, 4.5/5","낮음
에스파냐 식민지배(필리핀), 앙코르와트(캄보디아), 리틀 인디아(싱가포르) 등 너무나도 전형적인 국가별 특징이 종교와 완벽하게 1:1로 대응된다.","에스파냐의 식민 지배를 받아 국교 수준으로 가톨릭인 (가) 크리스트교를 믿는 A는 필리핀이다. 앙코르와트 사원이 위치하며 국민 대다수가 (나) 불교를 믿는 B는 캄보디아이다. 세계 최대의 무슬림 인구를 보유하여 (다) 이슬람교 신자가 가장 많은 국가인 C는 인도네시아이다. 남아시아(인도) 출신 이주자의 영향으로 형성된 도시 국가 D는 싱가포르이며, 리틀 인디아 지구의 민족 종교인 (라) 힌두교 사원이다.","⑤ A(필리핀) 남부 민다나오섬의 모로족 반군, B(캄보디아) 동부의 참족 등은 각각 크리스트교(가)와 불교(나)를 주류로 하는 자국 중앙 정부에 편입되지 않고 (다) 이슬람교를 신봉하며 자치나 독립을 요구하는 갈등을 빚고 있다.","① 나이지리아 북부 주민이 주로 믿는 종교는 (다) 이슬람교이다. (가) 크리스트교는 나이지리아 남부 주민이 주로 믿는다.
② 전 세계에서 (다) 이슬람교 신자가 가장 많은 국가는 C(인도네시아)이나, 이슬람교의 기원지는 사우디아라비아의 메카 일대이다.
③ 다수 국민이 불교(나)를 믿는 미얀마에서 로힝야족 등 일부 소수 민족이 주로 믿고 탄압받는 종교는 (다) 이슬람교이다. (라)는 힌두교이다.
④ 다민족 도시 국가인 D(싱가포르) 주민들이 가장 많이 믿는 종교는 중국계 화교를 중심으로 확산된 불교(나)이다. 그러나 (나) 불교 신자의 절대적인 머릿수 자체가 네 종교 중 가장 많다는 의미로 해석되는 선지 구조이므로 오답이다. 불교(나)는 (가) 크리스트교, (다) 이슬람교, (라) 힌두교에 이어 전 세계 신자 규모가 가장 적은 종교 중 하나다.","필리핀 민다나오섬 모로족, 미얀마의 로힝야족 등 동남아시아 내 복잡한 종교·민족 갈등 구조의 섬세한 단면을 정확히 꿰뚫어야만 ⑤번 선지의 참거짓을 확신할 수 있는 난도 높은 '팩트 체크' 문항임.","④번 선지의 주어 'D는~ 신자가 가장 많다'가 'D 국가 안에서 신자가 가장 많은 메인 종교'를 의미하는지, '전 세계에서 해당 종교 신자가 1짱'이라는 뜻인지 독해에 따라 이중적으로 해석될 여지가 아주 약간 있음.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",숨 막히는 동남아 디테일 팩트 폭격기,"필리핀이 아시아의 유일한 가톨릭 다수 국가라는 상식만 챙겨가면 ⑤번 선지에서 모로족이 이슬람교라는 구체적인 갈등 디테일까지 끄집어내야 하는 아주 피로한 문제임. 캄보디아(참족)도 이슬람교랑 싸운다는 사실을 완벽히 모르면 찍기 모드로 들어가야 함.. ④번 선지는 싱가포르 안에선 불교가 짱 먹는 게 맞지만, 글로벌 스케일로 넓히면 힌두교나 크리스트교 신자가 훨씬 많다는 교묘한 말장난이 깔려있어 헷갈리기 좋음."
13,④,45%,"① 10%
② 15%
③ 15%
④ 45%
⑤ 15%","상, 4.3/5","상, 4.5/5",낮음,"그래프에서 비어 있는 영역은 비율이 가장 큰 청장년층이며, (다)에서 유일하게 A보다 비율이 큰 B는 노년층이고 A는 유소년층이다. 노년층 비중이 가장 높은 (다)는 유럽이고, 아프리카의 수치가 크게 반영되어 라틴 아메리카(나)보다 유소년층 비중이 더 큰 (가)는 전 세계이다.","ㄱ. 라틴 아메리카(나)는 전 세계 평균(가)보다 유소년층 인구 비중이 작아 유소년 부양비가 낮다.
ㄴ. 일본은 미국보다 노년층(B) 인구 비율이 높다.
ㄷ. 아프리카는 유소년층 인구 비중이 타 대륙에 비해 압도적으로 커서 전 세계 평균(가)보다 청장년층 인구 비율이 낮다.
ㄹ. 대륙별 유소년 및 노년층 인구 구조에 따라 (나)는 라틴 아메리카, (다)는 유럽이다.",,"단순 대륙별 수치 암기를 확인하는 데 그치지 않고, 세계 평균 인구 구조가 아프리카의 극한 수치에 의해 어떻게 견인되는지를 라틴 아메리카와 비교하여 논리적으로 묻고 있음.",누적 막대그래프의 특성상 각 연령층의 정확한 비율(%) 수치를 계산하기 위해 양끝 값을 빼야 하는 번거로움이 다소 존재함. ,라틴 아메리카가 세계 평균보다 젊을까?,흔히 라틴 아메리카 하면 아직 개발도상국이 많으니까 애들이 훨씬 많고 인구 피라미드도 넓을 거라 착각하기 쉬워. 하지만 이미 인구 변천이 상당히 진행돼서 출산율이 많이 떨어진 상태야. 오히려 유소년 비중이 40%에 육박하는 아프리카가 글로벌 전체 평균을 하드캐리해서 확 끌어올리고 있지. 그래서 유소년 비중은 '라틴 아메리카 < 전 세계'라는 공식이 빈출 포인트로 자주 나오니까 꼭 기억해.
14,4,65%,"① 10%, ② 15%, ③ 5%, ④ 65%, ⑤ 5%","중, 3.5/5","상, 4.0/5","낮음
대중국 무역 상대국별 핵심 수출입 품목 통계 특성이 오스트레일리아(원자재), 일본(하이테크 부품 교역), 인도네시아(자원 및 값싼 공산품)의 경제 구조와 철저히 일치한다.","중국으로 압도적인 비중(79.8%)의 광물 및 에너지 자원(철광석, 석탄 등)을 수출하는 (나)는 오세아니아 대륙의 자원 부국 오스트레일리아이다. 중국과 기계류 및 전자 기기를 쌍방향으로 대규모(수출 48.2%, 수입 41.3%) 교환하며 산업 내 무역 단가가 가장 높은 (가)는 첨단 부품·소재 강국인 일본이다. 중국으로부터 주로 기계류와 전자 기기를 수입하면서, 반대로 철강(26.7%)이나 저부가 가치 1차 산품 등을 중국으로 주로 수출하는 (다)는 동남아시아의 인도네시아이다.","ㄱ. (가) 일본의 수도는 뉴욕, 런던과 함께 세계 경제와 금융의 핵심인 최상위 계층의 세계 도시인 도쿄이다.
ㄷ. 1억 2천만 명의 인구를 가진 (가) 일본이 2,600만 명 남짓인 (나) 오스트레일리아보다 총인구가 훨씬 많다.
ㄹ. 중국에 전량 가까이 광물 자원을 수출하는 막강한 1차 산업 의존형 수출 구조를 가진 (나) 오스트레일리아와 달리, (다) 인도네시아는 풍부한 노동력을 바탕으로 섬유, 봉제, 경공업 등 제조(2차) 산업을 적극적으로 육성해 왔으며 오스트레일리아보다 GDP 대비 2차 산업 구성 비율이 높다.","ㄴ. 애버리지니는 (다) 인도네시아가 겪어본 적 없는, (나) 오스트레일리아 대륙 고유의 전통 원주민이다.","세 국가의 자본·기술 집약도와 자원 보유량 차이를 바탕으로, 중국이라는 거대 시장을 매개로 한 국제 분업 체계(수직적 분업 vs 수평적 분업)의 본질을 정확히 묻고 있음.","(다) 인도네시아의 주요 대중 수출 품목 중 철강이 1위로 잡혀 있는 2025년 최신 통계(니켈 제련 및 스테인리스강 등 가공 수출 증가 반영)가, 교과서의 전통적인 농석탄·천연가스 1위 수출 지식과 상충하여 상위권 학생들의 오판을 유도할 위험이 다소 존재함.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",니켈 철강 강국으로 거듭난 인니의 함정,"호주가 중국에 철광석이랑 석탄(광물, 연료)을 80% 가까이 쏟아붓고 기계(공산품)를 입에 받아먹는 '호구 잡힌 쌍방향 무역'을 한다는 건 상식이니 (나)는 1초 컷임. 일본(가)은 중국과 부품이나 첨단 기계(기계류, 전자 기기)를 서로 주고받으며 산업 내 무역을 한다는 것도 명백함.. 근데 인도네시아(다)가 중국에 1위로 팔아먹는 게 석탄도 아니고 '철강'으로 찍혀있는 최신 디테일은 교과서만 달달 외운 화석들의 뒤통수를 가격하기 아주 좋은 요소임. 무턱대고 자원=인니라고 찍으면 피를 봄."
15,⑤,30%,"① 5%
② 5%
③ 40%
④ 20%
⑤ 30%","상, 4.5/5","중, 3.5/5",낮음,"대화에서 (가)는 아타카마 사막이 있는 칠레, (나)는 수도가 보고타인 콜롬비아, (다)는 이마존 열대 우림이 넓게 분포하는 브라질이다.","ㄱ. 브라질(다)의 대도시 주변 비탈면 등에는 파벨라라 불리는 대규모 불량 주택 지구가 형성되어 있다.
ㄴ. 칠레(가)는 국토가 적도 이남에 위치해 전체가 남반구에 속하며, 콜롬비아(나)와 브라질(다)은 적도가 국토를 통과하여 남반구와 북반구에 모두 걸쳐 있다.
ㄷ. 페루는 북쪽으로 콜롬비아(나), 동쪽으로 브라질(다), 남쪽으로 칠레(가)와 모두 국경을 맞닿고 있다.",,"라틴 아메리카 주요 국가들의 랜드마크적인 지형과 도시를 단서로 국가를 도출한 후, 구체적인 적도 통과 여부와 국경선 접점까지 공간 지각력을 깊이 있게 점검함.","페루와 이웃한 국가들을 백지도로 명확히 짚어낼 수 있어야 하므로, 국경선 형태 암기가 부족한 학생에게는 체감 난도가 지나치게 높아 지엽적인 문제로 느껴질 수 있음.",남미 지도 퍼즐 맞추기,"남미 파트에서 브라질, 칠레, 콜롬비아 같은 메이저급 국가들 이름표 붙이는 건 다들 잘하는데, 적도 선 긋기나 국경선 맞닿는 곳 찾는 지엽 선지가 나오면 정답률이 뚝 떨어져. 적도가 지나가는 남미 3국(에콰도르, 콜롬비아, 브라질)이랑, 페루를 둘러싼 5개국(에콰도르, 콜롬비아, 브라질, 볼리비아, 칠레) 정도는 백지도 눈에 바를 때 스캐너처럼 찍어둬야 이런 킬러 선지에 안 당해."
16,2,55%,"① 10%, ② 55%, ③ 20%, ④ 10%, ⑤ 5%","상, 4.0/5","상, 4.5/5","낮음
유럽 3개국의 극단적 에너지 공급 구조(프랑스: 원자력, 노르웨이: 수력, 독일: 석탄/석유 분산)가 범례 매칭 시 논리적 모순 없이 하나로 환원된다.","프랑스는 전 세계에서 원자력 발전 비중 및 1차 에너지 내 원자력 비중이 예외적으로 가장 높은 국가이다. 전체 에너지의 40%가량을 차지하며 압도적인 비중을 보이는 D는 원자력이다. 노르웨이는 산악 지형과 풍부한 강수를 이용해 전력의 대부분을 수력으로 생산하며 1차 에너지 비중에서도 수력이 타국을 압도한다. 따라서 약 40%를 점유하는 C는 수력이다.
유럽 최고의 경제 및 공업 대국인 독일에 가장 많이 공급되는 에너지 자원은 B인 석유이다. 자연스럽게 남은 A는 독일 의존도가 크고 최근 기후 위기 여파로 비중이 급감하고 있는 석탄이다.",② 전 세계에서 원자력(D)을 가장 큰 규모로 발전하여 공급량이 가장 많은 국가는 원자력 발전소 개수가 압도적인 미국이다.,"① 수력(C) 발전량이 풍부한 국가로 브라질과 캐나다 등이 꼽히지만, 싼샤댐 등 압도적인 설비 용량으로 전 세계 수력 발전량 절대 수치 1위를 기록하고 있는 국가는 중국이다.
② 전 세계 발전량 비율은 석탄(A) > 천연가스 > 수력(C) > 원자력(D) > 석유(B) 순이다. 1차 에너지 소비 구성과 달리 전력 생산(발전)에 있어서 석유(B)는 경제성 및 공해 문제로 비중이 크게 낮아져 가장 적게 사용되므로, 석탄(A)보다 발전량이 많을 수 없다.
④ 프랑스는 경제 규모와 7천만 명에 육박하는 인구에서 550만 명 수준의 노르웨이를 압살하므로, 비율이 아닌 절대적인 석유(B) 공급량(수요량)은 프랑스가 훨씬 많다.
⑤ 지속 가능한 재생 자원으로의 전환 에너지 정책을 적극 추진해 온 독일은 2000년대 후반부터 후쿠시마 원전 사태 등을 겪으며 2024년 현재 원자력인 (D)의 공급 비중이 완전히 제로(0%)에 수렴하게 감소하였다(탈원전).","프랑스와 노르웨이의 극단적인 시그니처 에너지(원자력, 수력)가 교차점을 빗겨가는 구조를 이용해 석유와 석탄의 빈자리를 역산하게 하는, 전형적이면서도 우아한 퍼즐임.","세계 에너지 공급/발전량 절대 수치 1위(중국 수력, 미국 원자력 등) 등 디테일한 암기가 없으면 ①, ②, ③ 사이에서 확신 없이 헤매게 되는 함정이 있음. 퍼즐 자체보다 선지의 통계 지식이 더 매력적임.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",프랑스의 원자력 빔과 노르웨이의 폭포수,"지도나 그래프에 프랑스가 등장했다? D가 무식하게 크다? 그럼 뇌세포 한구석에서 반사적으로 원자력을 내뱉어야 함. 노르웨이 C가 혼자 절반 가까이 튀어나와 있다? 깎아지른 피오르 해안에서 쏟아지는 물줄기로 전기를 돌리는 수력임.. 독일의 탈원전으로 회색 막대가 완전히 증발해 버린 2024년 그래프의 팩트 폭력, 그리고 '비율' 1위인 프랑스 함정을 피해 '절대량' 1위인 미국을 찍어내는 통계 지식의 환상적인 하모니임."
17,⑤,65%,"① 10%
② 10%
③ 5%
④ 10%
⑤ 65%","중, 3.5/5","상, 4.0/5",낮음,"(가)는 수도가 리스본인 포르투갈, (나)는 수도가 암스테르담이고 간척지가 넓은 네덜란드, (다)는 수도 로마 안에 바티칸 시국이 있는 이탈리아, (라)는 산업 혁명의 발상지이자 수도 런던에 템스강이 흐르는 영국이다. 따라서 ㉠은 포르투갈어, ㉡은 이탈리아어이다.","⑤ 이탈리아어(㉡)는 주로 이탈리아 본토 등지에서 한정적으로 쓰이는 반면, 포르투갈어(㉠)는 과거 식민 지배의 영향으로 인구 2억 명이 넘는 브라질을 비롯해 앙골라, 모잠비크 등 여러 국가에서 공용어로 채택되어 전 세계 사용자 수가 훨씬 많다.","① 이탈리아(다) 북부의 파다니아 지역은 경제력이 떨어지는 남부와의 소득 격차 등을 이유로 분리 독립 움직임이 나타나고 있다.
② 영국(라)의 수도 런던은 세계적인 금융 중심지이며, 템스강 연안의 대표적인 금융 산업 개발 지구로 카나리워프가 있다.
③ 포르투갈(가)과 네덜란드(나)는 모두 유럽 연합(EU) 회원국이다. 영국의 경우 브렉시트로 인해 EU에서 탈퇴하였다.
④ 스위스는 다양한 문화권과 접해 있어 독일어, 프랑스어, 이탈리아어(㉡), 로만슈어를 공용어로 사용한다.","유럽 주요 국가들의 수도, 지형, 역사적 배경, 그리고 언어의 글로벌 확산 범위까지 지역 지리와 인문 지리 요소를 깔끔하게 통합하여 묻고 있음.","이탈리아 파다니아나 런던의 카나리워프 같은 특정 지명이 오답 선지에 등장하여 암기 위주의 느낌을 주지만, ⑤번 정답의 논리가 워낙 명확해 정답률을 크게 떨어뜨리지는 않을 것으로 보임.",포르투갈어의 하드캐리 멤버,"포르투갈 본토 인구는 고작 1,000만 명 남짓인데 전 세계 포르투갈어 사용자는 왜 그렇게 많을까? 범인은 바로 인구 2억의 브라질이야. 과거 식민 지배 덕분에 브라질 전체가 포르투갈어를 쓰면서 언어 지분율을 멱살 잡고 끌어올린 거지. 반면 이탈리아어는 스위스 일부 등 국경 근처에서만 조금 더 쓰일 뿐이라 글로벌 유저 수로 붙으면 포르투갈어의 상대가 안 돼."
18,5,65%,"① 10%, ② 15%, ③ 5%, ④ 5%, ⑤ 65%","상, 4.0/5","상, 4.5/5","낮음
1980년을 기준(100)으로 한 상대값 그래프를 통해 미국 북동부 러스트 벨트의 몰락과 태평양/남부 선벨트의 급성장이라는 핵심 지리 개념이 정확히 도출되며, 도시별 선지의 팩트가 논란의 여지가 없이 명확하다.","1980년 기준 100을 기점으로 그 이전에는 인구가 월등히 많았으나 가장 가파르게 하락 곡선을 그리는 (라)는 몰락한 북동부 자동차 공업의 중심지, 러스트 벨트의 상징인 디트로이트이다. 1960년대 상대값이 가장 낮았으나 이후 폭발적인 성장세를 보이며 160고지를 향해가는 (가)는 텍사스 주의 항공 우주 및 석유 산업 중심지인 휴스턴이다. 비교적 완만한 성장을 보이는 (나)는 미국 서부 태평양 연안의 최대 도시 로스앤젤레스이다. 이미 거대 도시인 상태에서 1980년대 잠시 인구가 정체했다가 현재까지 서서히 반등 곡선을 그리는 (다)는 미국 최대의 다국적 인프라 메트로폴리스인 뉴욕이다.","⑤ 미국 제1의 세계 도시인 뉴욕(다)은 행정구역 기준 약 800만 명 이상의 인구를 보유하여, 신흥 선벨트 핵심 도시인 텍사스 주의 휴스턴(가)보다 총인구가 훨씬 많다. (텍사스는 인구 증가율이 가파른 것이지 절대 인구 규모에서 뉴욕을 넘어서지는 못함)","① 세계 영화 산업의 중심지인 할리우드가 위치한 곳은 (나) 로스앤젤레스이다.
② 국제 연합(UN) 본부가 있으며 글로벌 거버넌스의 중추 역할을 하는 도시는 (다) 뉴욕이다.
③ (다) 뉴욕은 전통적으로 미국 제조업의 심장이었던 스노벨트(러스트 벨트)가 위치한 북동부에 위치한다. 따뜻한 기후의 신흥 산업 지대인 선벨트에는 (가) 휴스턴 등이 속한다.
④ 보스턴, 필라델피아, 워싱턴 D.C. 등과 이어지는 거대한 해안 도시 연담화(메갈로폴리스)를 형성하고 있는 핵심 도시는 (다) 뉴욕이다.","절대적인 인구수를 가리고 1980년을 100으로 놓은 '상대값' 트릭을 던져줌으로써 선벨트(휴스턴, LA)와 러스트 벨트(디트로이트)의 인구 유출입 패턴을 동적으로 추론하게 하는 뛰어난 자료 해석 문제임.","(가)와 (다)의 확정 여부에 관계없이 뉴욕이 미국 인구 1위 도시라는 배경지식만 강하게 남아있으면 가장 인구가 많을 수밖에 없는 (다)를 대충 때려 맞추다 ⑤번이 덜컥 얻어걸릴 구멍이 있음.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",1980년 상대값 100의 늪 조심,"세로축 숫자가 100, 160 이런 식으로 찍혀있다고 ""아, (가) 휴스턴 인구가 160만 명이고 (다) 뉴욕이 120만 명이네?"" 하고 생각하는 순간 수능은 깔끔하게 조지는 거임. 이건 1980년을 100%로 잡고 인구가 얼마나 뛰었냐(증가율)를 보여주는 거임.. 1위 도시인 뉴욕 파이가 워낙 커서 상대값 증가율이 휴스턴보다 작아 보일 뿐이지, 절대 인구수로는 뉴욕이 언제나 모든 미국 도시들을 압살함. 저 상대값 트릭에 속지 않고 러스트벨트의 불운의 상징 디트로이트(라)가 망해가는 궤적을 애도하며 소거하면 됨."
19,④,40%,"① 10%
② 10%
③ 15%
④ 40%
⑤ 25%","상, 4.6/5","상, 4.5/5",낮음,"지도의 세 지역은 북아메리카 서안의 캘리포니아 일대, 유라시아 동부 내륙의 중국 북부 일대, 남아메리카 남서부 또는 남부의 파타고니아 일대이다. 강수량 차이 그래프에서 1월 강수량이 서울보다 많고(+), 7월 강수량이 극히 적은(-) (가)는 전형적인 북반구 지중해성 기후(Cs)가 나타나는 캘리포니아이다. 1월과 7월 모두 강수량이 서울보다 매우 적은 (다)는 연중 건조한 파타고니아 일대이며, 7월 강수량 격차가 (다)보다 상대적으로 작아 여름철 강수가 존재하는 (나)는 대륙성 기후를 띠는 중국 북부 내륙이다.","④ (가) 캘리포니아 일대(약 중위도 30도대)는 (나) 중국 북부 내륙(약 중위도 40도대 이상)보다 저위도에 위치한다. 북반구의 한여름인 7월에는 태양이 북회귀선 일대에 수직으로 비추므로, 상대적으로 북회귀선에 더 가까운 (가)가 (나)보다 정오의 태양 고도가 높다.","① 지중해성 기후인 (가)는 대체로 연 증발량보다 연 강수량이 많아 수목이 자랄 수 있는 하계 건조 습윤 기후(C)에 해당한다.
② 중국 북부 대륙 내륙에 위치한 (나)의 최난월 평균 기온은 여름철 강한 일사로 인해 20℃ 이상으로 높게 나타난다.
③ 편서풍 지대인 파타고니아 (다)는 안데스 산맥의 비그늘 효과(지형성 건조)로 사막과 스텝이 형성된 곳이며, 아열대 고압대의 하강 기류가 건조 기후의 주원인이 아니다.
⑤ 기온의 연교차는 비열이 작은 유라시아 대륙 한가운데 위치한 (나)가 해양의 영향을 일부 받는 남반구의 (다)보다 훨씬 크게 나타난다.",단순 기온·강수량 수치가 아니라 서울과의 격차를 산수적으로 변환하여 제시함으로써 자료 해석의 깊이를 더함. 기후 지식과 위도에 따른 태양 고도(수리 지리)를 결합하여 묻는 방식이 매우 깔끔함.,기온 차이 그래프의 선이 복잡하게 얽혀 있어 시각적으로 혼동을 유발할 여지가 큼. 기온보다 강수량 그래프를 먼저 공략해야만 시간 낭비를 줄일 수 있음.,샌프란시스코의 차가운 여름,"""내가 겪은 가장 추운 겨울은 샌프란시스코의 여름이었다""는 마크 트웨인의 썰, 들어본 적 있음? 지중해성 기후라고 여름에 프랑스 니스처럼 늘 뜨겁고 눈부실 거라 생각하면 오산이야. 캘리포니아 북부 해안은 차가운 한류 때문에 한여름에도 짙은 안개가 끼고 15도 안팎으로 서늘해. 이 문제의 (가) 기온 그래프가 7월에 깊게 푹 파이는 것도 바로 그 한류의 영향력을 칼같이 반영한 디테일이지."
20,2,35%,"① 15%, ② 35%, ③ 15%, ④ 10%, ⑤ 25%","상, 4.8/5","상, 4.5/5","낮음
스리랑카의 타밀족(힌두교), 나이지리아의 북부(이슬람교) 등 구체적인 인문 지리 지식이 참/거짓 판단의 명확한 근거로 작동하며, 이를 바탕으로 한 점수 역산 논리 구조에 결함이 없다.","스리랑카에서 싱할라족은 불교, 타밀족은 힌두교를 주로 믿으므로 B의 특징 1은 기재된 종교와 무관하게 0점(틀린 서술)이다. 총 3점이고 '불교 옳은 개수 > 이슬람교 옳은 개수' 조건을 충족하는 유일한 조합은 A가 크리스트교, B가 이슬람교, C가 불교인 경우다. 이 조합일 때 특징 1에서 A(맞음, 1점), B(틀림, 0점), C(틀림, 0점)로 1점을 획득한다. 목표 점수 3점과 교사 의견을 충족하려면 특징 2인 (가)는 맞는 서술, (나)는 틀린 서술, (다)는 맞는 서술이 되어야 결과적으로 A(2점), B(0점), C(1점)가 되어 불교(1점) > 이슬람교(0점)가 성립한다.","ㄱ. 크리스트교(A)는 이슬람교(B)보다 전 세계 신자 수가 많으므로 맞는 서술(1점)이며, 이는 (가)에 들어갈 수 있는 조건에 부합한다.
ㄷ. 불교(C)는 크리스트교, 이슬람교 중 가장 기원 시기가 이른 종교이므로 맞는 서술(1점)이며, 이는 (다)에 들어갈 수 있는 조건에 부합한다.","ㄴ. 모스크는 이슬람교(B)의 대표적 종교 경관이므로 맞는 서술(1점)이다. 그러나 (나) 시점에서는 이슬람교에 대한 틀린 서술(0점)이 들어가야 최종적으로 불교의 점수가 이슬람교보다 높다는 교사 의견이 성립하므로, 이 내용은 들어갈 수 없다.","스리랑카 민족·종교 갈등의 디테일(싱할라족-불교, 타밀족-힌두교)을 논리 퍼즐의 핵심인 '무조건 거짓(0점) 명제'로 활용하는 매우 세련되고 파괴적인 설계임.","세계 3대 종교의 특성을 묻는 척하면서 논리 경우의 수를 6가지나 열어두어, 공간 지식이 아니라 단순 연역 추리로 시간을 강제로 태우게 함.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",스리랑카 종교 낚시와 연역 추리의 늪,'스리랑카=불교' 키워드에 꽂혀서 B의 특징 1을 1점짜리 참으로 놓고 풀기 시작하면 영원히 미궁에 빠지는 악마의 퍼즐임. 스리랑카에서 인도계 타밀족은 힌두교를 믿기 때문에 저 항목은 무슨 짓을 해도 0점짜리 거짓 명제임.. 이 0점을 베이스로 깔고 (나) 자리에 일부러 '거짓 서술'을 구겨 넣어야 하는 ㄴ 선지의 구조는 평가원식 살의의 명백한 표출임.
